CENSUS_TRACT,MED_AGE,MED_INCOME,COUNTS,LONGITUDE,LATITUDE,LONG_CENSUS,CENSUS,STATE_ID
47.12,30.5,44883,150,-106.74228,35.078506,4712,47.12,96
47.13,31.1,43419,125,-106.64683,35.103806,4713,47.13,97
47.15,34.2,38857,3,-106.7531806,35.0245,4715,47.15,98
47.16,35.9,41607,255,-106.60186,35.21773538,4716,47.16,99
47.17,31,50907,109,-106.66163,35.21772361,4717,47.17,100
47.2,43.9,63452,42,-106.53055,35.20332868,4720,47.2,101
47.22,40.1,49320,347,-106.66389,35.18092588,4722,47.22,102
47.23,42.9,91955,154,-106.58441,35.1812122,4723,47.23,103
47.24,41,85077,21,-106.696556,35.17349432,4724,47.24,104
47.25,42.3,71200,49,-106.5456,35.16291478,4725,47.25,105
47.26,36.7,60938,54,-106.7106,35.15224743,4726,47.26,106
47.27,43.1,64327,50,-106.703537,35.152847,4727,47.27,107
47.28,40.5,73442,118,-106.55704,35.15254,4728,47.28,108
47.29,40.8,56906,492,-106.6862,35.14963715,4729,47.29,109
47.33,28.6,44085,111,-106.7231743,35.05761,4733,47.33,110
47.34,26.9,39475,96,-106.55824,35.09542,4734,47.34,111
47.35,30.4,42024,36,-106.58649,35.191486,4735,47.35,112
47.36,29.2,34408,1,-106.753,35.0293,4736,47.36,113
47.37,27.4,54190,97,-106.7370416,35.04329128,4737,47.37,114
47.38,28.7,44508,63,-106.7185173,35.03940982,4738,47.38,115
47.39,28,42924,155,-106.7300109,35.07547384,4739,47.39,116
47.4,30.1,44939,240,-106.7022706,35.079685,4740,47.4,117
47.41,33.1,35386,376,-106.60222,35.10645739,4741,47.41,118
47.42,35.4,58750,133,-106.709175,35.13534688,4742,47.42,119
47.43,31.1,76383,39,-106.73102,35.103237,4743,47.43,120
47.44,33.8,91675,77,-106.56446,35.11738671,4744,47.44,121
47.45,36.8,85478,141,-106.6839319,35.21385001,4745,47.45,122
47.46,33,61734,143,-106.57715,35.21785771,4746,47.46,123
47.47,33.4,65389,48,-106.7060229,35.2046237,4747,47.47,124
47.48,33.3,75536,47,-106.728325,35.20392,4748,47.48,125
47.49,29.7,34125,197,-106.53337,35.135723,4749,47.49,126
47.5,35.3,53047,187,-106.530815,35.13894,4750,47.5,127
47.51,33.8,74244,42,-106.6853591,35.1965214,4751,47.51,128
47.52,35.7,67256,92,-106.665764,35.19216466,4752,47.52,129
47.53,37.5,87832,141,-106.6657613,35.19372273,4753,47.53,130
5.01,38.4,30815,370,-106.5783158,35.08740759,501,5.01,131
5.02,40.5,44987,562,-106.48459,35.248188,502,5.02,132
6.01,44.4,41235,390,106.56875,35.23879,601,6.01,133
6.03,30.9,18345,887,-106.49124,35.239746,603,6.03,134
6.04,37.4,25166,574,-106.5751497,35.0755,604,6.04,135
7.04,38.9,43910,594,-106.70379,35.091873,704,7.04,136
7.07,29.7,32969,640,-106.483826,35.21469,707,7.07,137
7.08,37.2,37838,726,-106.5094336,35.07210688,708,7.08,138
7.1,45.5,95413,68,-106.48411,35.203648,710,7.1,139
7.11,38.8,62132,87,-106.4844088,35.08630913,711,7.11,140
7.12,31.8,36176,401,-106.49176,35.211605,712,7.12,141
7.13,36.7,26662,446,-106.50306,35.066235,713,7.13,142
7.14,40.2,60318,71,-106.52415,35.0578,714,7.14,143
8.01,23.2,74063,75,-106.49357,35.176723,801,8.01,144
9.01,32,20772,743,106.56872,35.23879,901,9.01,145
9.03,33,18306,941,-106.48891,35.233276,903,9.03,146
9.04,40.4,36692,515,-106.48264,35.216267,904,9.04,147
9405,60.4,88125,16,-106.4962788,35.20404956,940500,9405,148
9406,32.2,81218,124,-106.7071316,35.199684,940600,9406,149
9407,37.9,33917,10,-106.70452,34.939182,940700,9407,150
